.\datasets\images\4634534829.jpg	[2, 1, 134, 38, 10, 1299, 17, 1, 1300, 9, 265, 598, 139, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
.\datasets\images\226531363.jpg	[2, 1, 44, 369, 4, 5, 90, 1, 1490, 4, 5, 116, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
.\datasets\images\2249783869.jpg	[2, 43, 14, 28, 4, 1, 722, 723, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
.\datasets\images\2588912438.jpg	[2, 1, 12, 404, 739, 1, 63, 30, 28, 6, 5, 72, 740, 29, 1, 154, 741, 452, 453, 30, 5, 8, 59, 16, 31, 10, 29, 1, 154, 4, 35, 742, 3, 0, 0, 0, 0, 0, 0, 0]
.\datasets\images\2460804866.jpg	[2, 1, 49, 20, 56, 4, 146, 1157, 6, 1, 140, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
.\datasets\images\133280380.jpg	[2, 1, 12, 11, 144, 10, 201, 701, 11, 1, 702, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
.\datasets\images\4383269886.jpg	[2, 1, 12, 4, 1, 26, 23, 4, 1, 149, 48, 71, 1344, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
.\datasets\images\3827185640.jpg	[2, 1, 18, 4, 5, 72, 9, 157, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
.\datasets\images\428927040.jpg	[2, 13, 22, 14, 253, 1, 1444, 592, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
.\datasets\images\4510875373.jpg	[2, 1, 12, 4, 1, 356, 23, 39, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
.\datasets\images\2466171114.jpg	[2, 5, 92, 44, 11, 5, 24, 643, 10, 113, 1, 114, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
.\datasets\images\4638645892.jpg	[2, 1, 629, 10, 124, 4, 630, 25, 80, 4, 5, 386, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
.\datasets\images\15085612.jpg	[2, 1, 8, 19, 1, 25, 23, 1317, 263, 1318, 11, 35, 344, 614, 46, 4, 5, 100, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
.\datasets\images\4685230116.jpg	[2, 108, 882, 22, 14, 883, 36, 1, 50, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
.\datasets\images\2191896524.jpg	[2, 1, 8, 10, 95, 107, 1, 187, 141, 10, 1, 20, 4, 5, 116, 1, 8, 10, 33, 1, 524, 7, 10, 19, 1, 391, 83, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
.\datasets\images\4183914060.jpg	[2, 1, 1453, 7, 35, 52, 426, 57, 1, 1454, 123, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
.\datasets\images\2203586218.jpg	[2, 1, 8, 4, 1, 24, 373, 29, 1, 25, 333, 600, 4, 51, 275, 1202, 35, 74, 275, 16, 1203, 16, 1, 45, 1204, 1205, 9, 1206, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
.\datasets\images\4643130562.jpg	[2, 13, 1225, 43, 19, 312, 1226, 1227, 6, 5, 217, 14, 55, 17, 133, 74, 4, 32, 9, 1, 70, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
.\datasets\images\42348693.jpg	[2, 13, 22, 28, 4, 1, 221, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
